row_idx,product_id,shade_id,shade_name,brand_name,product_name,page_url,chip_url,center_url_used,image_file,status,error
1,P1000208609,377626,"N01 - Nude Mousseline (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779507/377626-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779507/377626-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377626.avif,ok,
2,P1000208609,377623,"N02 - Tailored Nude (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779504/377623-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779504/377623-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377623.webp,ok,
3,P1000208609,377617,"N03 - Chiffon Crush (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779498/377617-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779498/377617-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377617.webp,ok,
4,P1000208609,377615,"N04 - Soft Undercut (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779496/377615-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779496/377615-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377615.webp,ok,
5,P1000208609,377624,"N05 - George 5 (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779505/377624-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779505/377624-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377624.avif,ok,
6,P1000208609,377613,"N06 - Atelier Flou (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779494/377613-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779494/377613-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377613.avif,ok,
7,P1000208609,377620,"N07 - Enfant Terrible (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779501/377620-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779501/377620-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377620.avif,ok,
8,P1000208609,377625,"P10 - Rose Singulier (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779506/377625-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779506/377625-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377625.avif,ok,
9,P1000208609,377628,"P227 - Pink Silhouette (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/780386/377628-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/780386/377628-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377628.webp,ok,
10,P1000208609,377622,"R11 - Red Couture (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779503/377622-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779503/377622-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377622.avif,ok,
