product_id,shade_id,brand_name,product_name,shade_name,chip_hex,chip_rgb,r,g,b,L_lab,a_lab,b_lab,C_lab,H_lab_deg,cluster_id
P1000208609,377626,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"N01 - Nude Mousseline (2,3 g)",#a64449,"166,68,73",166,68,73,42.34533906344021,40.85068284829874,17.682599700683333,44.51351054844917,23.405824562486828,8
P1000208609,377623,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"N02 - Tailored Nude (2,3 g)",#984143,"152,65,67",152,65,67,39.34899558137936,36.65934207358551,16.980224434020997,40.40093294836,24.85307956012622,8
P1000208609,377617,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"N03 - Chiffon Crush (2,3 g)",#a3554f,"163,85,79",163,85,79,45.42817526058181,31.45112704121061,18.08187729289694,36.27847403899111,29.89545058752321,11
P1000208609,377615,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"N04 - Soft Undercut (2,3 g)",#c16569,"193,101,105",193,101,105,53.672585920377415,37.05702623265661,14.571052423877418,39.818824216031096,21.465059743871848,1
P1000208609,377624,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"N05 - George 5 (2,3 g)",#9b4238,"155,66,56",155,66,56,39.83621798236811,36.44134452357917,24.453429296184822,43.88555337499693,33.863006668502805,29
P1000208609,377613,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"N06 - Atelier Flou (2,3 g)",#99564c,"153,86,76",153,86,76,44.16312534566849,26.581357384201976,17.94155966905615,32.069738442104125,34.018081570272614,11
P1000208609,377620,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"N07 - Enfant Terrible (2,3 g)",#a3473c,"163,71,60",163,71,60,42.18732496115789,37.25055535902705,25.27369903758148,45.01515008969964,34.15604668825091,29
P1000208609,377625,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"P10 - Rose Singulier (2,3 g)",#962d2a,"150,45,42",150,45,42,35.06317715453246,43.55225109159544,26.95181766731538,51.217175348876765,31.750824682196992,0
P1000208609,377628,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"P227 - Pink Silhouette (2,3 g)",#c0304c,"192,48,76",192,48,76,44.01082328457466,57.80982901677023,18.8723692934327,60.812356093937936,18.079585581616183,3
P1000208609,377622,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R11 - Red Couture (2,3 g)",#b7383c,"183,56,60",183,56,60,43.10035784232798,51.13415895404905,27.163413066500407,57.901236786093605,27.978068420349075,24
P1000208609,377618,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R12 - Scarlet Mesh (2,3 g)",#a1372a,"161,55,42",161,55,42,38.688687839664,43.10525894550671,31.654119023801552,53.47940351137231,36.29150238789714,29
P1000208609,377616,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R13 - Red Muse (2,3 g)",#832d26,"131,45,38",131,45,38,31.447917863997283,36.52859828263083,24.26203535934237,43.85185118409255,33.591829977622865,21
P1000208609,377614,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R14 - Flushed Organza (2,3 g)",#b02b33,"176,43,51",176,43,51,39.91503981763881,53.21638155108715,28.4383601437358,60.338408937058574,28.119650029390986,24
P1000208609,377629,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R15 - Sculptural Red (2,3 g)",#a10521,"161,5,33",161,5,33,33.5585335967645,56.75889122265587,31.367945539744248,64.84997872173624,28.92734594167757,24
P1000208609,377627,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R37 - Rouge Separables (2,3 g)",#a5313c,"165,49,60",165,49,60,38.76810348397896,48.01391881686956,21.00311623571327,52.40674853264438,23.626399650240728,24
P1000208609,377621,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"P09 - Blushing Tulle (2,3 g)",#9a383e,"154,56,62",154,56,62,37.928831246152974,41.37266070300688,18.27784745382025,45.230263775388856,23.83515329915332,8
P1000208609,377619,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"N08 - Masculine Feminine (2,3 g)",#643936,"100,57,54",100,57,54,29.165296626826425,18.67828804157661,10.082951011837904,21.22602989895254,28.361150056178303,28
P10025810,273241,CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,"Pillow Talk Intense (1,5 g + 0,8 g)",#b56162,"181,97,98",181,97,98,50.98709347165311,33.8988989278548,14.730118166156837,36.960948712253845,23.486434264040327,1
P10025810,200834,CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,"Pillow Talk Original (1,5 g + 0,8 g)",#c6847f,"198,132,127",198,132,127,61.69137852473345,24.77102179771079,13.120157033559664,28.03109062252,27.908266416437016,19
P10025810,241092,CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,"Pillow Talk Medium (1,5 g + 0,8 g)",#b56162,"181,97,98",181,97,98,50.98709347165311,33.8988989278548,14.730118166156837,36.960948712253845,23.486434264040327,1
P10025810,364541,CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,"Pillow Talk Fair (1,5 g + 0,8 g)",#c9837f,"201,131,127",201,131,127,61.813565014341,26.480323213804613,13.343475134843263,29.652248585591952,26.74360448012333,19
P1000207675,364252,HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,Rich Brown (1 ml),#6e4231,"110,66,49",110,66,49,32.77512431649951,17.096888966101844,18.3399003680471,25.07300456325705,47.00893255322973,9
P1000207675,364254,HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,Rosewood (1 ml),#d9727d,"217,114,125",217,114,125,60.13256068328678,41.26884400006953,12.435833176273302,43.10182631734036,16.769502160577815,26
P1000207675,364255,HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,Baby Pink (1 ml),#f18595,"241,133,149",241,133,149,67.76208011527235,42.82721192494354,9.99705987211037,43.97853211909858,13.139152751268114,26
P1000207675,364253,HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,Warm Brown (1 ml),#9b4733,"155,71,51",155,71,51,40.761238297520144,33.52766863558926,28.55906522952587,44.042306603108216,40.424552273086704,29
P1000207675,364251,HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,Soft Nude (1 ml),#af7350,"175,115,80",175,115,80,53.9810533444161,19.820953912853657,28.954967007395904,35.089319292554734,55.60663644987187,9
P1000207675,367863,HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,Cinnamon (1 ml),#aa5150,"170,81,80",170,81,80,45.65121769442851,36.38706419339088,17.960744920346983,40.5784031069203,26.271060450244363,1
P1000207675,367862,HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,Cherry Red (1 ml),#ba4445,"186,68,69",186,68,69,45.64265100811468,47.64248077384931,25.054869153704384,53.82891827443543,27.739588655488543,24
P1000207675,367864,HUDA BEAUTY,Lip Contour Lip Stain - Crayon à lèvres,Toasty Brown (1 ml),#9c5d40,"156,93,64",156,93,64,45.99985473311723,22.79337792122072,27.470209202598703,35.69524437084204,50.3158439098346,9
